date,home_team,away_team,neutral,tournament,t_weight,elo_home,elo_away,elo_diff,elo_win_prob_h,elo_win_prob_a,diff_pts5,diff_pts10,diff_wpts5,diff_gf5,diff_ga5,h2h_wwin_rate_a,h2h_wwin_rate_b,h2h_wdraw_rate,h2h_gf_a,h2h_ga_a,h2h_n_matches,h_world_ranking,h_participations,h_elo_rating,h_elo_rank_wc,h_ea_overall,h_ea_attack,h_ea_midfield,h_ea_defense,h_ea_atk_def_ratio,h_ea_balance,h_squad_value_m,h_log_squad_value,h_rank_score,h_wc_exp,a_world_ranking,a_participations,a_elo_rating,a_elo_rank_wc,a_ea_overall,a_ea_attack,a_ea_midfield,a_ea_defense,a_ea_atk_def_ratio,a_ea_balance,a_squad_value_m,a_log_squad_value,a_rank_score,a_wc_exp,diff_ea_overall,diff_ea_attack,diff_ea_midfield,diff_ea_defense,diff_squad_value_m,diff_rank_score,diff_wc_exp,a_gf5,a_ga5,a_pts5,a_wpts5,a_gf10,a_ga10,a_pts10,a_wpts10,h_gf5,h_ga5,h_pts5,h_wpts5,h_gf10,h_ga10,h_pts10,h_wpts10,outcome,home_goals,away_goals,goal_diff,total_goals
2018-03-27,Bosnia and Herzegovina,Senegal,True,Friendly,0.3,1678.8,1728.9,-50.100000000000136,0.42839591663854637,0.5716040833614536,,,,,,0.4860769571690445,0.4860769571690445,0.2708845642464333,0.0,0.0,1,65,1,1385.0,43,,,,,,,70,4.2626798770413155,0.015384615384615385,0.6931471805599453,14,3,1686.41,13,79.32,80.15,76.69,79.3,1.0107187894073142,1.8030622100563654,260,5.564520407322694,0.07142857142857142,1.3862943611198906,,,,,-190,-0.05604395604395604,-0.6931471805599453,,,,,,,,,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,D,0,0,0,0
2018-03-27,Belgium,Saudi Arabia,False,Friendly,0.3,1899.0,1592.0,307.0,0.9123666522054631,0.08763334779453691,,,,,,0.5139230428309556,0.4860769571690445,0.24303847858452224,4.0,0.0,1,9,13,1734.71,9,82.71,82.46,84.06,79.53,1.0368414434804476,2.2973100211624318,600,6.398594934535208,0.1111111111111111,2.6390573296152584,61,6,1421.0,41,75.74,75.38,76.06,74.85,1.0070808283233132,0.6065476073648342,55,4.02535169073515,0.01639344262295082,1.9459101490553132,6.969999999999999,7.079999999999998,8.0,4.680000000000007,545,0.09471766848816028,0.6931471805599452,,,,,,,,,,,,,,,,,H,4,0,4,4
2018-03-27,Algeria,Iran,True,Friendly,0.3,1720.0,1747.1,-27.09999999999991,0.4610788651941038,0.5389211348058962,,,,,,0.5321542442196331,0.46784575578036686,0.22124814655272634,1.7795840994963938,1.2204159005036064,2,28,4,1564.26,26,77.52,79.27,75.35,77.16,1.02734577501296,1.9619123323940861,160,5.081404364984463,0.03571428571428571,1.6094379124341003,21,6,1616.04,19,75.74,78.83,74.88,72.88,1.0816410537870473,3.0277879714405382,75,4.330733340286331,0.047619047619047616,1.9459101490553132,1.7800000000000011,0.4399999999999977,0.46999999999999886,4.280000000000001,85,-0.011904761904761904,-0.33647223662121295,,,,,,,,,,,,,,,,,A,1,2,-1,3
2018-03-27,Germany,Brazil,False,Friendly,0.3,1998.5,2078.0,-79.5,0.5294676827651853,0.4705323172348147,,,,,,0.4860769571690445,0.5139230428309556,0.24303847858452224,0.0,1.0,1,10,20,1731.3,10,83.78,84.42,84.51,82.18,1.0272572402044293,1.3200126262022376,850,6.7464121285733745,0.1,3.044522437723423,6,22,1761.16,6,85.24,85.72,84.39,84.78,1.0110875206416607,0.6836909633257792,1000,6.90875477931522,0.16666666666666666,3.1354942159291497,-1.4599999999999937,-1.2999999999999972,0.12000000000000455,-2.5999999999999943,-150,-0.06666666666666665,-0.09097177820572666,,,,,,,,,,,,,,,,,A,0,1,-1,1
2018-05-09,Algeria,Saudi Arabia,True,Friendly,0.3,1710.8,1588.8,122.0,0.6686949563073317,0.33130504369266833,,,,,,0.596800162803141,0.40319983719685903,0.19030586544710462,1.810801291686084,0.18919870831391583,2,28,4,1564.26,26,77.52,79.27,75.35,77.16,1.02734577501296,1.9619123323940861,160,5.081404364984463,0.03571428571428571,1.6094379124341003,61,6,1421.0,41,75.74,75.38,76.06,74.85,1.0070808283233132,0.6065476073648342,55,4.02535169073515,0.01639344262295082,1.9459101490553132,1.7800000000000011,3.8900000000000006,-0.710000000000008,2.3100000000000023,105,0.019320843091334892,-0.33647223662121295,1.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,,,,,,,,,A,0,2,-2,2
2018-05-19,Iran,Uzbekistan,False,Friendly,0.3,1756.4,1491.8,264.60000000000014,0.8907871045288998,0.10921289547110025,-0.5,-0.5,-0.5,-1.0,0.0,0.32778741952653156,0.2151655324313998,0.5646298142577685,0.8328399648429395,0.6351428812412022,9,21,6,1616.04,19,75.74,78.83,74.88,72.88,1.0816410537870473,3.0277879714405382,75,4.330733340286331,0.047619047619047616,1.9459101490553132,50,0,1465.34,37,72.62,72.67,74.08,70.68,1.02815506508206,1.7082251998297293,40,3.713572066704308,0.02,0.0,3.1199999999999903,6.159999999999997,0.7999999999999972,2.1999999999999886,35,0.027619047619047616,1.9459101490553132,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,H,1,0,1,1
2018-05-28,Portugal,Tunisia,False,Friendly,0.3,1949.8,1704.9,244.89999999999986,0.8792560533969688,0.12074394660303123,,,,,,0.48537085831101856,0.48537085831101856,0.27194371253347205,2.0,2.0,1,5,8,1763.83,5,83.74,82.45,86.12,82.24,1.0025535019455254,2.182025053323941,850,6.7464121285733745,0.2,2.1972245773362196,44,6,1483.05,35,72.99,70.78,75.39,71.78,0.9860685427695737,2.42501546386822,80,4.394449154672439,0.022727272727272728,1.9459101490553132,10.75,11.670000000000002,10.730000000000004,10.459999999999994,770,0.17727272727272728,0.25131442828090633,,,,,,,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,D,2,2,0,4
2018-05-28,Turkey,Iran,False,Friendly,0.3,1795.0,1758.6,36.40000000000009,0.6867957735444187,0.3132042264555813,-0.5,-0.5,-0.5,-1.0,-1.0,0.5146291416889813,0.48537085831101856,0.24268542915550928,2.0,1.0,1,22,2,1599.04,20,80.6,73.08,82.57,79.88,0.9148723084626941,4.891083724492965,460,6.133398042996649,0.045454545454545456,1.0986122886681098,21,6,1616.04,19,75.74,78.83,74.88,72.88,1.0816410537870473,3.0277879714405382,75,4.330733340286331,0.047619047619047616,1.9459101490553132,4.859999999999999,-5.75,7.689999999999998,7.0,385,-0.0021645021645021606,-0.8472978603872034,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,,,,,,,,,H,2,1,1,3
2018-05-29,Argentina,Haiti,False,Friendly,0.3,1967.1,1530.0,437.0999999999999,0.9565530723286372,0.04344692767136282,,,,,,0.5146408103626969,0.48535918963730307,0.24267959481865153,4.0,0.0,1,3,18,1874.81,3,84.24,84.97,83.57,83.76,1.0144460362941738,0.7594076639065482,570,6.3473892096560105,0.3333333333333333,2.9444389791664403,83,1,1291.0,47,69.56,70.06,68.5,69.54,1.0074777106701178,0.7943131204590139,10,2.3978952727983707,0.012048192771084338,0.6931471805599453,14.679999999999993,14.909999999999997,15.069999999999993,14.219999999999999,560,0.321285140562249,2.251291798606495,,,,,,,,,,,,,,,,,H,4,0,4,4
2018-05-30,Japan,Ghana,False,Friendly,0.3,1771.0,1673.0,98.0,0.7576391748622517,0.24236082513774826,0.0,0.0,0.0,0.0,0.0,0.6251493340921916,0.3748506659078083,0.17675309287943555,2.3424367115662545,0.38977174924386604,3,18,7,1661.58,17,76.86,73.58,78.41,76.46,0.9623332461417735,2.4298765400735887,290,5.673323267171493,0.05555555555555555,2.0794415416798357,74,4,1346.0,45,75.83,76.81,77.55,73.19,1.0494603087853533,2.3331523739353166,130,4.875197323201151,0.013513513513513514,1.6094379124341003,1.0300000000000011,-3.230000000000004,0.8599999999999994,3.269999999999996,160,0.04204204204204204,0.47000362924573547,,,,,,,,,,,,,,,,,A,0,2,-2,2
